text,sentiment
I’m thrilled to share this news!,Happy
The pain is unbearable.,Sad
I'm so happy right now.,Happy
Smiling all day long!,Happy
The sun is shining and I’m smiling.,Happy
My heart feels empty.,Sad
The report is due tomorrow.,Neutral
The report is due tomorrow.,Neutral
He is 6 feet tall.,Neutral
I'm so happy right now.,Happy
It’s a really tough time for me.,Sad
Water boils at 100°C.,Neutral
The report is due tomorrow.,Neutral
It’s just another day.,Neutral
We need to buy groceries.,Neutral
It’s just another day.,Neutral
The event starts at noon.,Neutral
Feeling joyful and blessed.,Happy
It’s a really tough time for me.,Sad
Water boils at 100°C.,Neutral
Life feels so heavy right now.,Sad
Life feels so heavy right now.,Sad
The sun is shining and I’m smiling.,Happy
It’s a really tough time for me.,Sad
She owns a red bicycle.,Neutral
Nothing seems to go right.,Sad
What a wonderful surprise!,Happy
I have a meeting at 10 AM.,Neutral
The pain is unbearable.,Sad
What a wonderful surprise!,Happy
Feeling joyful and blessed.,Happy
Life is beautiful!,Happy
The pain is unbearable.,Sad
It’s a really tough time for me.,Sad
I'm so happy right now.,Happy
It’s a really tough time for me.,Sad
Smiling all day long!,Happy
It’s just another day.,Neutral
This is the best day ever!,Happy
She owns a red bicycle.,Neutral
What a wonderful surprise!,Happy
I'm feeling great today!,Happy
I have a meeting at 10 AM.,Neutral
Smiling all day long!,Happy
This is the best day ever!,Happy
I'm so happy right now.,Happy
The event starts at noon.,Neutral
The event starts at noon.,Neutral
I’m thrilled to share this news!,Happy
The pain is unbearable.,Sad
I just want to be alone.,Sad
Smiling all day long!,Happy
It’s just another day.,Neutral
What a wonderful surprise!,Happy
It’s a really tough time for me.,Sad
My heart feels empty.,Sad
My heart feels empty.,Sad
I'm feeling great today!,Happy
I'm feeling great today!,Happy
The sun is shining and I’m smiling.,Happy
My heart feels empty.,Sad
Nothing seems to go right.,Sad
We need to buy groceries.,Neutral
The pain is unbearable.,Sad
I miss those days so much.,Sad
We need to buy groceries.,Neutral
My heart feels empty.,Sad
I feel miserable.,Sad
I'm feeling down today.,Sad
The sun is shining and I’m smiling.,Happy
I'm feeling great today!,Happy
There are 12 books on the shelf.,Neutral
Life feels so heavy right now.,Sad
I just want to be alone.,Sad
I just want to be alone.,Sad
This is the best day ever!,Happy
I'm feeling great today!,Happy
The report is due tomorrow.,Neutral
Smiling all day long!,Happy
The pain is unbearable.,Sad
Life feels so heavy right now.,Sad
I'm so happy right now.,Happy
Water boils at 100°C.,Neutral
Smiling all day long!,Happy
He is 6 feet tall.,Neutral
Life is beautiful!,Happy
I miss those days so much.,Sad
